hotel_id,cv_mean_r2,cv_std_r2,final_training_r2,n_features,status
Hotel_01,-42.245225990152875,71.67507876752657,0.7592646820830514,8,Success
Hotel_02,0.23745032365474827,0.3189623675786606,0.7179094442131642,25,Success
Hotel_03,-0.527528631468984,0.0,0.891725990477358,34,Success
Hotel_04,0.2673526904942673,0.30023322069052205,0.7563237964671352,27,Success
Hotel_05,0.3173444928209695,0.3344108083086059,0.9391290933841099,57,Success
Hotel_06,0.502684891963382,0.0,0.7269388161162211,7,Success
Hotel_07,-0.22353937163628412,1.0463904526023995,0.8064070968489057,28,Success
Hotel_08,,,,0,Failed: [Errno 2] No such file or directory: '..\\data\\full-data\\processed\\Hotel_08_lagged_dataset.csv'
Hotel_11,,,,0,Failed: [Errno 2] No such file or directory: '..\\data\\full-data\\processed\\Hotel_11_lagged_dataset.csv'
Hotel_12,0.0631529602898746,0.2958310714834578,0.5019204304452205,10,Success
Hotel_13,-2.1030839900593112,2.2962966575069426,0.8006212015936893,52,Success
Hotel_14,-13.207089767191073,27.375301280593547,0.6434790605319101,21,Success
Hotel_15,-21.855101416224482,18.02694793787099,0.5988487659859905,31,Success
Hotel_16,,,,0,Failed: [Errno 2] No such file or directory: '..\\data\\full-data\\processed\\Hotel_16_lagged_dataset.csv'
Hotel_17,-2.48685404946498,5.062900089424418,0.6991371565177259,34,Success
Hotel_18,-0.5661287614542152,0.0,0.5492037022768028,30,Success
Hotel_21,-0.3558419526765213,0.43545797925844726,0.4630407704486964,10,Success
Hotel_22,-0.6601056388154272,0.740271465823508,0.6461349781732402,26,Success
Hotel_23,-3.251787574793867,3.6426058583903567,0.7024518273049265,35,Success
Hotel_24,-16.59389084064229,20.705027629070607,0.5762534530960267,14,Success
Hotel_25,-0.6498673998586141,1.8983950578164657,0.7605622644017125,41,Success
Hotel_27,0.707137178449047,0.05400757401683648,0.8336284409374585,23,Success
Hotel_31,-1.512013561569839,3.185810146283797,0.5777856382130557,28,Success
Hotel_33,-1.2876495683562017,2.8045327436069627,0.3596565237614098,9,Success
Hotel_35,0.7699047154004779,0.0,0.8374114496992324,25,Success
Hotel_36,-3.4296709438813857,3.3106924194313283,0.782118098201651,36,Success
Hotel_37,0.3128400145872643,0.0,0.24147640608091303,1,Success
Hotel_38,-0.14750901050198828,0.0,0.8836642139543996,28,Success
Hotel_40,0.6962224309458598,0.007942433515202518,0.76314694536432,13,Success
Hotel_41,0.5281663496134736,0.21816098499570852,0.7883178774463055,19,Success
Hotel_42,,,,0,Failed: [Errno 2] No such file or directory: '..\\data\\full-data\\processed\\Hotel_42_lagged_dataset.csv'
Hotel_43,,,,0,Failed: [Errno 2] No such file or directory: '..\\data\\full-data\\processed\\Hotel_43_lagged_dataset.csv'
Hotel_44,,,,0,Failed: [Errno 2] No such file or directory: '..\\data\\full-data\\processed\\Hotel_44_lagged_dataset.csv'
